Batch,Trade,Time
0,1906,288
0,1430,24
0,999,20
0,710,18
0,57,13
0,1521,12
0,1704,9
0,1705,6
0,880,4
0,1474,3
0,1971,2
,Total Calculation Time,399

1,1595,190
1,972,43
1,285,36
1,1111,28
1,1854,24
1,427,18
1,290,16
1,697,13
1,313,11
1,575,6
1,1980,6
1,361,3
1,1511,3
1,1986,2
,Total Calculation Time,399

2,1703,190
2,1007,43
2,442,36
2,1195,28
2,1974,24
2,438,18
2,311,16
2,700,13
2,319,11
2,582,6
2,21,5
2,894,4
2,1529,3
,Total Calculation Time,397

3,1436,189
3,895,43
3,268,36
3,976,28
3,1702,24
3,1460,19
3,395,16
3,723,13
3,347,11
3,589,6
3,64,5
3,906,4
3,1533,3
,Total Calculation Time,397

4,1672,170
4,1022,44
4,122,37
4,824,29
4,645,24
4,550,20
4,468,18
4,1674,15
4,1213,12
4,1261,9
4,338,6
4,1716,6
4,907,4
4,1538,3
,Total Calculation Time,397

5,924,160
5,58,44
5,1807,38
5,98,29
5,1954,28
5,19,20
5,1160,20
5,487,16
5,725,13
5,396,11
5,590,6
5,94,5
5,910,4
5,1571,3
,Total Calculation Time,397

6,250,159
6,1952,45
6,1965,38
6,592,29
6,42,27
6,922,22
6,1479,19
6,492,16
6,736,13
6,410,11
6,628,6
6,167,5
6,936,4
6,1600,3
,Total Calculation Time,397

7,151,128
7,1680,55
7,511,43
7,1976,37
7,813,28
7,1675,24
7,1157,20
7,738,18
7,188,13
7,1581,12
7,345,6
7,1720,6
7,949,4
7,1613,3
,Total Calculation Time,397

8,682,128
8,1934,55
8,763,43
8,100,36
8,807,28
8,1517,24
8,1006,20
8,711,18
8,78,13
8,1547,12
8,1779,9
8,1562,5
8,372,3
8,1622,3
,Total Calculation Time,397

9,1941,127
9,1422,55
9,220,43
9,1896,37
9,808,28
9,1569,24
9,1063,20
9,716,18
9,97,13
9,1559,12
9,1797,9
9,1604,5
9,394,3
9,1632,3
,Total Calculation Time,397

10,149,120
10,1337,55
10,7,43
10,1176,37
10,1847,29
10,1321,24
10,977,20
10,708,18
10,41,13
10,1339,12
10,1309,9
10,1093,6
10,1609,5
10,397,3
10,1640,3
,Total Calculation Time,397

11,1843,120
11,1392,55
11,25,43
11,1185,37
11,466,28
11,927,24
11,749,20
11,549,18
11,662,14
11,1345,12
11,1340,9
11,1116,6
11,1644,5
11,401,3
11,1670,3
,Total Calculation Time,397

12,1177,119
12,419,55
12,1695,44
12,1225,37
12,633,28
12,929,24
12,753,20
12,569,18
12,784,14
12,1372,12
12,1379,9
12,1201,6
12,1677,5
12,403,3
12,1701,3
,Total Calculation Time,397

13,1546,119
13,959,55
13,1889,44
13,1249,37
13,685,28
13,1027,24
13,769,20
13,571,18
13,1035,14
13,1397,12
13,1399,9
13,1203,6
13,1691,5
13,449,3
13,1708,3
,Total Calculation Time,397

14,1911,119
14,1108,55
14,1904,44
14,1456,37
14,766,28
14,1037,24
14,801,20
14,598,18
14,1152,14
14,1404,12
14,1442,9
14,1207,6
14,1710,5
14,451,3
14,1714,3
,Total Calculation Time,397

15,538,118
15,283,55
15,1229,44
15,618,37
15,1496,29
15,1107,24
15,827,20
15,639,18
15,1324,14
15,1421,12
15,1466,9
15,1220,6
15,1732,5
15,485,3
15,1725,3
,Total Calculation Time,397

16,1260,118
16,352,55
16,1445,44
16,670,37
16,1508,29
16,1214,24
16,851,20
16,671,18
16,1487,14
16,1475,12
16,1469,9
16,1233,6
16,1808,5
16,529,3
16,1727,3
,Total Calculation Time,397

17,1024,117
17,1753,56
17,1572,44
17,787,37
17,1690,29
17,1262,24
17,862,20
17,693,18
17,1905,14
17,1500,12
17,1484,9
17,1237,6
17,1811,5
17,530,3
17,1729,3
,Total Calculation Time,397

18,1246,117
18,1824,56
18,1623,44
18,806,37
18,1836,29
18,1267,24
18,893,20
18,698,18
18,11,13
18,1235,12
18,1269,9
18,629,6
18,209,5
18,956,4
18,1739,3
,Total Calculation Time,397

19,1357,117
19,32,55
19,1068,44
19,248,37
19,958,29
19,667,24
19,567,20
19,502,18
19,1751,15
19,1515,12
19,1597,9
19,1239,6
19,1839,5
19,544,3
19,1747,3
,Total Calculation Time,397

20,1486,117
20,120,55
20,1154,44
20,515,37
20,1165,29
20,773,24
20,657,20
20,510,18
20,533,14
20,1283,12
20,1273,9
20,630,6
20,246,5
20,980,4
20,1763,3
,Total Calculation Time,397

21,1498,117
21,134,55
21,1189,44
21,617,37
21,1435,29
21,890,24
21,673,20
21,535,18
21,649,14
21,1310,12
21,1276,9
21,635,6
21,279,5
21,985,4
21,1792,3
,Total Calculation Time,397

22,1786,113
22,1381,56
22,897,44
22,56,37
22,820,29
22,545,24
22,537,20
22,440,18
22,1570,15
22,136,12
22,707,11
22,638,6
22,553,5
22,986,4
22,1818,3
,Total Calculation Time,397

23,1259,104
23,990,56
23,882,44
23,15,37
23,1813,31
23,1183,26
23,997,22
23,1563,19
23,587,16
23,771,13
23,713,11
23,661,6
23,574,5
23,1009,4
23,1822,3
,Total Calculation Time,397

24,1958,102
24,488,56
24,1077,45
24,1247,38
24,1842,31
24,1290,26
24,1047,22
24,1576,19
24,608,16
24,812,13
24,757,11
24,677,6
24,576,5
24,1017,4
24,1855,3
,Total Calculation Time,397

25,772,101
25,50,56
25,96,45
25,329,38
25,1949,32
25,1413,26
25,1094,22
25,1657,19
25,627,16
25,832,13
25,777,11
25,678,6
25,597,5
25,1029,4
25,1876,3
,Total Calculation Time,397

26,1567,101
26,121,56
26,491,45
26,389,38
26,197,31
26,180,27
26,1585,22
26,1687,19
26,636,16
26,844,13
26,786,11
26,679,6
26,607,5
26,1049,4
26,1879,3
,Total Calculation Time,397

27,1056,100
27,1369,57
27,509,45
27,399,38
27,435,31
27,185,27
27,1616,22
27,1724,19
27,655,16
27,875,13
27,876,11
27,681,6
27,637,5
27,1059,4
27,1882,3
,Total Calculation Time,397

28,1266,100
28,1573,57
28,552,45
28,615,38
28,446,31
28,201,27
28,1696,22
28,1775,19
28,688,16
28,919,13
28,900,11
28,683,6
28,646,5
28,1082,4
28,1892,3
,Total Calculation Time,397

29,162,99
29,1689,59
29,1126,45
29,1274,38
29,99,30
29,412,27
29,1937,22
29,1844,19
29,692,16
29,951,13
29,1012,11
29,709,6
29,647,5
29,1088,4
29,1910,3
,Total Calculation Time,397

30,441,99
30,1726,59
30,1137,45
30,1288,38
30,238,30
30,472,27
30,68,21
30,1179,20
30,751,16
30,966,13
30,1021,11
30,726,6
30,660,5
30,1100,4
30,1918,3
,Total Calculation Time,397

31,611,99
31,1821,59
31,1458,45
31,1301,38
31,4,29
31,1568,28
31,90,21
31,1181,20
31,811,16
31,1030,13
31,1057,11
31,728,6
