Trade,Time
0,18
1,19
2,52
3,50
4,29
5,23
6,45
7,43
8,49
9,40
10,6
11,13
12,4
13,64
14,16
15,37
16,29
17,12
18,6
19,20
20,25
21,5
22,6
23,2
24,40
25,43
26,41
27,2
28,29
29,4
30,54
31,20
32,55
33,12
34,39
35,39
36,4
37,85
38,23
39,24
40,57
41,13
42,27
43,6
44,9
45,9
46,49
47,23
48,12
49,77
50,56
51,16
52,6
53,9
54,54
55,10
56,37
57,13
58,44
59,86
60,12
61,19
62,3
63,6
64,5
65,20
66,10
67,2
68,21
69,6
70,19
71,9
72,6
73,24
74,6
75,2
76,70
77,4
78,13
79,4
80,2
81,4
82,97
83,26
84,3
85,4
86,40
87,6
88,42
89,20
90,21
91,38
92,3
93,75
94,5
95,15
96,45
97,13
98,29
99,30
100,36
101,19
102,11
103,6
104,18
105,6
106,16
107,2
108,54
109,50
110,9
111,6
112,47
113,16
114,25
115,89
116,73
117,21
118,54
119,39
120,55
121,56
122,37
123,2
124,76
125,6
126,3
127,9
128,6
129,46
130,6
131,22
132,76
133,19
134,55
135,2
136,12
137,46
138,4
139,20
140,18
141,48
142,6
143,54
144,19
145,39
146,40
147,6
148,23
149,120
150,3
151,128
152,2
153,12
154,12
155,68
156,41
157,63
158,20
159,53
160,76
161,82
162,99
163,16
164,91
165,18
166,20
167,5
168,12
169,2
170,65
171,11
172,20
173,6
174,18
175,2
176,18
177,12
178,25
179,67
180,27
181,35
182,76
183,6
184,9
185,27
186,91
187,9
188,13
189,61
190,15
191,16
192,19
193,6
194,68
195,2
196,39
197,31
198,2
199,46
200,13
201,27
202,12
203,69
204,41
205,9
206,65
207,20
208,2
209,5
210,12
211,2
212,39
213,68
214,73
215,6
216,2
217,21
218,19
219,6
220,43
221,6
222,2
223,42
224,51
225,3
226,2
227,2
228,13
229,2
230,83
231,13
232,9
233,23
234,63
235,72
236,2
237,6
238,30
239,40
240,33
241,2
242,18
243,24
244,22
245,69
246,5
247,18
248,37
249,20
250,159
251,11
252,32
253,69
254,2
255,4
256,6
257,12
258,3
259,6
260,6
261,13
262,4
263,12
264,4
265,53
266,65
267,17
268,36
269,25
270,42
271,6
272,12
273,12
274,39
275,32
276,2
277,89
278,87
279,5
280,18
281,6
282,16
283,55
284,12
285,36
286,20
287,12
288,17
289,26
290,16
291,19
292,6
293,18
294,12
295,42
296,12
297,32
298,6
299,70
300,4
301,4
302,11
303,20
304,13
305,2
306,98
307,9
308,9
309,13
310,9
311,16
312,22
313,11
314,2
315,2
316,20
317,4
318,6
319,11
320,6
321,9
322,6
323,13
324,13
325,24
326,4
327,6
328,20
329,38
330,39
331,33
332,2
333,26
334,2
335,18
336,6
337,6
338,6
339,3
